Date,Team 1,Score,Team 2
17 February 2024,AL Ettifaq FC,0 - 2,Al Taawon
17 February 2024,Al-Riyadh SC,0 - 1,Al-Khaleej Club
17 February 2024,Al Fateh FC,1 - 1,Al Shabab
17 February 2024,Al Hilal,2 - 0,Al Wahda
17 February 2024,Al Raed,0 - 1,Damac FC
17 February 2024,Abha Club,1 - 1,AL Hazem FC
17 February 2024,Al-Okhdood Club,1 - 0,Al-Tai FC
17 February 2024,Al Feiha,0 - 4,Al-Ahli
17 February 2024,Al-Ahli,0 - 0,Al Raed
17 February 2024,Al Wahda,2 - 0,Al-Okhdood Club
22 September 2023,Al Wahda,0 - 3,Al Ittihad
22 September 2023,Al Fateh FC,0 - 5,Al Nassr
22 September 2023,Al Feiha,0 - 0,AL Hazem FC
22 September 2023,Al Shabab,1 - 1,Damac FC
22 September 2023,Al Taawon,1 - 0,Abha Club
22 September 2023,Al-Tai FC,0 - 3,Al Wahda
22 September 2023,Al-Ahli,1 - 0,Al-Okhdood Club
22 September 2023,AL Ettifaq FC,1 - 1,Al-Khaleej Club
22 September 2023,Al Raed,0 - 4,Al Hilal
22 September 2023,Al-Riyadh SC,0 - 4,Al Ittihad
22 September 2023,Al Ittihad,2 - 0,Al-Tai FC
17 February 2024,Al-Khaleej Club,3 - 1,Abha Club
17 February 2024,Al Nassr,4 - 1,Al-Riyadh SC
17 February 2024,Al Taawon,4 - 1,Al Feiha
17 February 2024,Al-Tai FC,1 - 2,Al Hilal
17 February 2024,AL Hazem FC,2 - 0,Al Fateh FC
17 February 2024,Al Shabab,0 - 0,AL Ettifaq FC
17 February 2024,Damac FC,3 - 1,Al Ittihad
17 February 2024,Al-Okhdood Club,1 - 0,AL Ettifaq FC
17 February 2024,Al Fateh FC,0 - 1,Al-Tai FC
17 February 2024,Al Raed,2 - 0,Al Wahda
22 September 2023,Abha Club,1 - 0,Al Raed
22 September 2023,Al Hilal,1 - 1,Al Feiha
22 September 2023,Al-Okhdood Club,1 - 3,Al Fateh FC
22 September 2023,AL Hazem FC,0 - 2,AL Ettifaq FC
